key,authorKey,poemKey,,,,,
1,4,1,,,,,
2,5,2,,,,,
3,6,3,,,,,
4,7,4,,,,,
5,8,5,,,,,
6,9,6,,,,,
7,10,7,,,,,
8,10,8,,,,,
9,11,9,,,,,
10,12,10,,,,,
11,13,11,,,,,
12,14,12,,,,,
13,15,13,,,,,
14,16,14,,,,,
15,16,15,,,,,
16,17,16,,,,,
17,18,17,,,,,
18,18,18,,,,,
19,18,19,,,,,
20,19,20,,,,,
21,20,21,,,,,
22,21,22,,,,,
23,22,23,,,,,
24,22,24,,,,,
25,22,25,,,,,
26,2,26,,,,,
27,24,27,,,,,
28,25,28,,,,,
29,26,29,,,,,
30,26,30,,,,,
31,27,31,,,,,
32,28,32,,,,,
33,29,33,,,,,
34,30,34,,,,,
35,31,35,,,,,
36,32,36,,,,,
37,33,37,,,,,
38,34,38,,,,,
39,35,39,,,,,
40,36,40,,,,,
41,37,41,,,,,
42,37,42,,,,,
43,37,43,,,,,
44,38,44,,,,,
45,39,45,,,,,
46,40,46,,,,,
47,41,47,,,,,
48,42,48,,,,,
49,43,49,,,,,
50,43,50,,,,,
51,44,51,,,,,
52,44,52,,,,,
53,45,53,,,,,
54,46,54,,,,,
55,47,55,,,,,
56,48,56,,,,,
57,49,57,,,,,
58,50,58,,,,,
59,51,59,,,,,
60,51,60,,,,,
61,52,61,,,,,
62,53,62,,,,,
63,54,63,,,,,
64,55,64,,,,,
65,56,65,,,,,
66,57,66,,,,,
67,58,67,,,,,
68,59,68,,,,,
69,59,69,,,,,
70,60,70,,,,,
71,61,71,,,,,
72,62,72,,,,,
73,63,73,,,,,
74,63,74,,,,,
75,63,75,,,,,
76,64,76,,,,,
77,64,77,,,,,
78,65,78,,,,,
79,65,79,,,,,
80,66,80,,,,,
81,67,81,,,,,
82,69,82,,,,,
83,69,83,,,,,
84,68,84,,,,,
85,1,85,,,,,
86,3,86,,,,,
87,3,87,,,,,
88,23,88,,,,,
89,10,89,,,,,
90,22,90,,,,,
91,22,91,,,,,
92,15,92,,,,,
93,75,93,,,,,
94,76,94,,,,,
95,53,95,,,,,
96,53,95,,,,,
97,5,97,,,,,
98,5,98,,,,,
99,5,99,,,,,
100,8,100,,,,,
101,8,101,,,,,
102,8,102,,,,,
103,159,103,,,,,
104,30,104,,,,,
105,35,105,,,,,
106,116,106,,,,,
107,116,107,,,,,
108,42,108,,,,,
109,103,109,,,,,
